DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Comment
"Beamer",132346,SPOT,2013-08-12 12:11:16,Argos,1,41.03599930,-67.05499268,1500,,,,,,,,
"Beamer",132346,SPOT,2013-08-12 12:55:13,Argos,B,41.03900146,-67.05099487,,,,,,,,,
"Beamer",132346,SPOT,2013-08-13 00:11:07,Argos,B,41.10800171,-66.98400879,,,,,,,,,
"Beamer",132346,SPOT,2013-08-13 00:23:21,Argos,1,41.07799911,-66.68499756,1500,,,,,,,,
"Beamer",132346,SPOT,2013-08-13 01:24:36,Argos,A,41.06000137,-66.68599701,,,,,,,,,
"Beamer",132346,SPOT,2013-08-13 01:26:45,Argos,A,41.06000137,-66.68600464,,,,,,,,,
"Beamer",132346,SPOT,2013-08-13 02:00:50,Argos,B,41.05799866,-66.68399048,,,,,,,,,
"Beamer",132346,SPOT,2013-08-13 05:45:33,Argos,B,41.06399918,-66.62200928,,,,,,,,,
"Beamer",132346,SPOT,2013-08-13 08:29:21,Argos,B,41.18199921,-66.62500000,,,,,,,,,
"Beamer",132346,SPOT,2013-08-13 09:00:15,Argos,1,41.19499969,-66.55801392,1500,,,,,,,,
"Beamer",132346,SPOT,2013-08-13 09:00:15,Argos,1,41.19499969,-66.55799866,1500,,,,,,,,
"Beamer",132346,SPOT,2013-08-13 09:56:51,Argos,0,41.20700073,-66.56900024,,,,,,,,,
"Beamer",132346,SPOT,2013-08-13 10:42:17,Argos,2,41.22499847,-66.51098633,500,,,,,,,,
"Beamer",132346,SPOT,2013-08-13 10:42:17,Argos,2,41.22499847,-66.51100159,500,,,,,,,,
"Beamer",132346,SPOT,2013-08-13 11:38:57,Argos,2,41.23699951,-66.47900391,500,,,,,,,,
"Beamer",132346,SPOT,2013-08-13 12:00:21,Argos,0,41.23600006,-66.46200562,,,,,,,,,
"Beamer",132346,SPOT,2013-08-14 01:11:17,Argos,1,41.45999908,-66.33899689,1500,,,,,,,,
"Beamer",132346,SPOT,2013-08-14 01:11:28,Argos,1,41.45999908,-66.33898926,1500,,,,,,,,
"Beamer",132346,SPOT,2013-08-14 01:29:12,Argos,B,41.45999908,-66.34201050,,,,,,,,,
"Beamer",132346,SPOT,2013-08-14 02:14:52,Argos,1,41.46900177,-66.34698486,1500,,,,,,,,
"Beamer",132346,SPOT,2013-08-14 02:14:52,Argos,1,41.46900177,-66.34700012,1500,,,,,,,,
"Beamer",132346,SPOT,2013-08-14 02:49:31,Argos,2,41.47600174,-66.35900879,500,,,,,,,,
"Beamer",132346,SPOT,2013-08-14 05:34:42,Argos,B,41.51900101,-66.33999634,,,,,,,,,
"Beamer",132346,SPOT,2013-08-14 07:15:22,Argos,2,41.62300110,-66.48001099,500,,,,,,,,
"Beamer",132346,SPOT,2013-08-14 07:18:10,Argos,2,41.62300110,-66.48000336,500,,,,,,,,
"Beamer",132346,SPOT,2013-08-14 07:47:34,Argos,B,41.63999939,-66.47799683,,,,,,,,,
"Beamer",132346,SPOT,2013-08-14 08:10:44,Argos,2,41.65399933,-66.47601318,500,,,,,,,,
"Beamer",132346,SPOT,2013-08-14 08:10:44,Argos,2,41.65399933,-66.47599792,500,,,,,,,,
"Beamer",132346,SPOT,2013-08-14 08:34:53,Argos,3,41.66799927,-66.46398926,250,,,,,,,,
"Beamer",132346,SPOT,2013-08-14 09:00:39,Argos,A,41.68600082,-66.46398926,,,,,,,,,
"Beamer",132346,SPOT,2013-08-15 00:19:00,Argos,B,41.93700027,-66.59600830,,,,,,,,,
"Beamer",132346,SPOT,2013-08-15 02:37:05,Argos,A,41.84899902,-66.46398926,,,,,,,,,
"Beamer",132346,SPOT,2013-08-15 02:52:30,Argos,B,41.84899902,-66.46398926,,,,,,,,,
"Beamer",132346,SPOT,2013-08-15 06:23:57,Argos,B,41.91099930,-66.45800781,,,,,,,,,
"Beamer",132346,SPOT,2013-08-15 11:31:47,Argos,B,41.99100113,-66.50299072,,,,,,,,,
"Beamer",132346,SPOT,2013-08-15 14:19:33,Argos,A,42.02000046,-66.62799072,,,,,,,,,
"Beamer",132346,SPOT,2013-08-15 15:03:07,Argos,B,42.02999878,-66.63900757,,,,,,,,,
"Beamer",132346,SPOT,2013-08-15 15:15:24,Argos,B,42.01900101,-66.56298828,,,,,,,,,
"Beamer",132346,SPOT,2013-08-15 15:15:24,Argos,B,42.02299881,-66.57901001,,,,,,,,,
"Beamer",132346,SPOT,2013-08-15 15:15:24,Argos,B,42.01900101,-66.56300354,,,,,,,,,
"Beamer",132346,SPOT,2013-08-15 16:53:40,Argos,0,42.04000092,-66.55099487,,,,,,,,,
"Beamer",132346,SPOT,2013-08-15 17:51:47,Argos,1,42.06600189,-66.71200562,1500,,,,,,,,
"Beamer",132346,SPOT,2013-08-15 17:53:33,Argos,1,42.06600189,-66.71199799,1500,,,,,,,,
