DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
Larry,141268,SPOT,DS,6,0,0,62,52,21:32:38 24-Nov-2015,N,3,37.6120,-63.1110,,,50,,401677520,-123
Larry,141268,SPOT,DS,6,0,0,116,45,11:03:35 25-Nov-2015,NK,1,37.2146,-62.6066,37.2146,-62.6066,40,,401677530,-130
Larry,141268,SPOT,DS,6,0,0,116,45,11:11:36 25-Nov-2015,K,1,37.2150,-62.6070,,,40,,401677530,-130
Larry,141268,SPOT,DS,5,0,1,79,51,11:24:16 25-Nov-2015,SR,1,37.2129,-62.6074,37.2129,-62.6074,50,,401677529,-131
Larry,141268,SPOT,DS,5,0,1,79,51,11:25:20 25-Nov-2015,R,1,37.2130,-62.6070,,,50,,401677529,-131
Larry,141268,SPOT,DS,4,0,0,118,50,11:34:47 25-Nov-2015,NN,1,37.2137,-62.6126,37.2137,-62.6126,50,,401677537,-133
Larry,141268,SPOT,DS,4,0,0,118,50,11:39:53 25-Nov-2015,N,1,37.2140,-62.6130,,,50,,401677537,-133
Larry,141268,SPOT,DS,2,0,0,343,343,12:20:47 25-Nov-2015,MA,B,37.1997,-62.5876,37.1997,-62.5876,8,,401677538,-126
Larry,141268,SPOT,DS,2,0,0,343,343,12:20:47 25-Nov-2015,A,B,37.2000,-62.5880,,,8,,401677538,-126
Larry,141268,SPOT,DS,4,0,0,129,49,13:14:27 25-Nov-2015,MB,2,37.1431,-62.5921,37.1431,-62.5921,58,,401677533,-129
Larry,141268,SPOT,DS,4,0,0,129,49,13:17:10 25-Nov-2015,B,2,37.1430,-62.5920,,,58,,401677533,-129
Larry,141268,SPOT,DS,10,0,2,73,45,14:06:05 25-Nov-2015,MA,1,37.1259,-62.6117,37.1207,-62.5808,58,,401677531,-118
Larry,141268,SPOT,DS,10,0,2,74,45,14:07:55 25-Nov-2015,A,1,37.1260,-62.6120,,,58,,401677533,-118
Larry,141268,SPOT,DS,10,0,2,68,46,10:37:37 26-Nov-2015,NK,3,36.5720,-62.5057,36.5720,-62.5057,50,,401677533,-124
Larry,141268,SPOT,DS,10,0,2,68,46,10:47:08 26-Nov-2015,K,3,36.5720,-62.5060,,,50,,401677533,-124
Larry,141268,SPOT,DS,5,0,0,125,48,10:51:47 26-Nov-2015,SR,2,36.5701,-62.5221,36.5701,-62.5221,50,,401677532,-130
Larry,141268,SPOT,DS,5,0,0,125,48,10:53:10 26-Nov-2015,R,2,36.5700,-62.5220,,,50,,401677532,-130
Larry,141268,SPOT,DS,5,0,2,90,46,11:23:10 26-Nov-2015,NN,2,36.5322,-62.5213,36.5322,-62.5213,58,,401677530,-131
Larry,141268,SPOT,DS,5,0,2,90,46,11:23:53 26-Nov-2015,N,2,36.5320,-62.5210,,,58,,401677531,-131
Larry,141268,SPOT,DS,1,0,0,,,12:02:06 26-Nov-2015,MA,B,36.5056,-62.5174,36.5056,-62.5174,8,,401677529,-135
Larry,141268,SPOT,DS,1,0,0,,,12:02:06 26-Nov-2015,A,B,36.5060,-62.5170,,,8,,401677529,-135
Larry,141268,SPOT,DS,1,0,0,,,12:55:07 26-Nov-2015,MB,B,36.4836,-62.5145,36.4836,-62.5145,8,,401677531,-133
Larry,141268,SPOT,DS,1,0,0,,,12:55:08 26-Nov-2015,B,B,36.4840,-62.5140,,,8,,401677531,-133
Larry,141268,SPOT,DS,4,0,0,53,49,14:41:12 26-Nov-2015,MB,0,36.4222,-62.5051,36.4222,-62.5051,58,,401677530,-124
Larry,141268,SPOT,DS,4,0,0,53,49,14:41:39 26-Nov-2015,B,0,36.4220,-62.5050,,,58,,401677530,-124
Larry,141268,SPOT,DS,4,0,0,95,46,15:23:48 26-Nov-2015,MA,0,36.3835,-62.5823,36.3840,-62.5453,48,,401677534,-126
